,precision,recall,f1-score,support
0,0.7207962283918282,0.7858366647629925,0.7519125683060109,7004.0
1,0.764299182903834,0.6952544311034877,0.7281437125748503,6996.0
accuracy,0.7405714285714285,0.7405714285714285,0.7405714285714285,0.7405714285714285
macro avg,0.7425477056478311,0.7405455479332401,0.7400281404404306,14000.0
weighted avg,0.7425352762322562,0.7405714285714285,0.7400349315420681,14000.0
