FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.00014723203769140164,0.88771737
0.0,0.0014723203769140165,0.88654447
0.00014419610670511897,0.0014723203769140165,0.88644797
0.00014419610670511897,0.002208480565371025,0.88615173
0.00028839221341023794,0.002208480565371025,0.88612354
0.00028839221341023794,0.0036808009422850414,0.8858924
0.0004325883201153569,0.0036808009422850414,0.8858556
0.0004325883201153569,0.005447585394581861,0.8854724
0.0005767844268204759,0.005447585394581861,0.8854072
0.0005767844268204759,0.0066254416961130744,0.8851752
0.0007209805335255948,0.0066254416961130744,0.88514894
0.0007209805335255948,0.006919905771495877,0.8850202
0.0008651766402307138,0.006919905771495877,0.88501805
0.0008651766402307138,0.007803297997644287,0.8848946
0.0010093727469358328,0.007803297997644287,0.8848891
0.0010093727469358328,0.011778563015312132,0.8844575
0.0011535688536409518,0.011778563015312132,0.8844562
0.0011535688536409518,0.012073027090694936,0.8843912
0.0012977649603460708,0.012073027090694936,0.8843855
0.0012977649603460708,0.012367491166077738,0.8843439
0.0014419610670511895,0.012367491166077738,0.8843368
0.0014419610670511895,0.012809187279151944,0.88427484
0.0015861571737563085,0.012809187279151944,0.8842725
0.0015861571737563085,0.013250883392226149,0.8842579
0.0017303532804614275,0.013250883392226149,0.8842571
0.0017303532804614275,0.015312131919905771,0.88412744
0.0018745493871665465,0.015312131919905771,0.8841076
0.0018745493871665465,0.01678445229681979,0.8839835
0.0020187454938716655,0.01678445229681979,0.8839815
0.0020187454938716655,0.017520612485276796,0.8839517
0.0021629416005767843,0.017520612485276796,0.88393354
0.0021629416005767843,0.018109540636042403,0.8838662
0.0023071377072819035,0.018109540636042403,0.8838157
0.0023071377072819035,0.01884570082449941,0.88375634
0.0024513338139870223,0.01884570082449941,0.8837445
0.0024513338139870223,0.019729093050647822,0.8836397
0.0025955299206921415,0.019729093050647822,0.88363624
0.0025955299206921415,0.020318021201413426,0.8835711
0.0027397260273972603,0.020318021201413426,0.88355654
0.0027397260273972603,0.02149587750294464,0.8834179
0.002883922134102379,0.02149587750294464,0.8834049
0.002883922134102379,0.022084805653710248,0.8833044
0.0030281182408074983,0.022084805653710248,0.88328475
0.0030281182408074983,0.022232037691401647,0.8832735
0.003172314347512617,0.022232037691401647,0.88326836
0.003172314347512617,0.026060070671378093,0.88293266
0.0033165104542177363,0.026060070671378093,0.8829292
0.0033165104542177363,0.026207302709069492,0.88292384
0.003604902667627974,0.026207302709069492,0.8829179
0.003604902667627974,0.02871024734982332,0.8826971
0.003749098774333093,0.02871024734982332,0.8826923
0.003749098774333093,0.029004711425206126,0.88266927
0.003893294881038212,0.029004711425206126,0.8826542
0.003893294881038212,0.029151943462897525,0.8826466
0.004037490987743331,0.029151943462897525,0.8826105
0.004037490987743331,0.03253828032979977,0.8823651
0.00418168709444845,0.03253828032979977,0.88235825
0.00418168709444845,0.03415783274440518,0.8822683
0.004470079307858687,0.03415783274440518,0.88225716
0.004470079307858687,0.03445229681978799,0.88223714
0.004614275414563807,0.03445229681978799,0.8822351
0.004614275414563807,0.03504122497055359,0.8822008
0.004758471521268926,0.03504122497055359,0.88219965
0.004758471521268926,0.036071849234393404,0.8821658
0.004902667627974045,0.036071849234393404,0.8821596
0.004902667627974045,0.037544169611307424,0.88207704
0.005046863734679163,0.037544169611307424,0.8820766
0.005046863734679163,0.03931095406360424,0.882007
0.005191059841384283,0.03931095406360424,0.8819915
0.005191059841384283,0.04048881036513546,0.881901
0.005335255948089402,0.04048881036513546,0.8818981
0.005335255948089402,0.040783274440518255,0.8818912
0.005479452054794521,0.040783274440518255,0.8818779
0.005479452054794521,0.04107773851590106,0.88186514
0.005623648161499639,0.04107773851590106,0.8818648
0.005623648161499639,0.04210836277974087,0.88183266
0.005767844268204758,0.04210836277974087,0.8818324
0.005767844268204758,0.04328621908127209,0.8818036
0.006056236481614997,0.04328621908127209,0.8817843
0.006056236481614997,0.04372791519434629,0.8817645
0.006200432588320115,0.04372791519434629,0.881764
0.006200432588320115,0.04534746760895171,0.8817034
0.006344628695025234,0.04534746760895171,0.8816993
0.006344628695025234,0.04696702002355713,0.8816217
0.006488824801730353,0.04696702002355713,0.8816126
0.006488824801730353,0.04976442873969376,0.8815176
0.006777217015140591,0.04976442873969376,0.8815008
0.006777217015140591,0.05005889281507656,0.88149613
0.00692141312184571,0.05005889281507656,0.8814925
0.00692141312184571,0.050500588928150764,0.8814863
0.007065609228550829,0.050500588928150764,0.88148564
0.007065609228550829,0.05079505300353357,0.88146794
0.007209805335255948,0.05079505300353357,0.88144964
0.007209805335255948,0.05138398115429917,0.8814104
0.007354001441961067,0.05138398115429917,0.8814065
0.007354001441961067,0.051531213191990576,0.88140565
0.007498197548666186,0.051531213191990576,0.8814005
0.007498197548666186,0.05167844522968198,0.8813986
0.007642393655371305,0.05167844522968198,0.88139415
0.007642393655371305,0.05403415783274441,0.88126737
0.007786589762076424,0.05403415783274441,0.88126147
0.007786589762076424,0.054770318021201414,0.8812285
0.007930785868781542,0.054770318021201414,0.88121563
0.007930785868781542,0.055212014134275615,0.8812061
0.008074981975486662,0.055212014134275615,0.88119525
0.008074981975486662,0.055800942285041226,0.88118833
0.00821917808219178,0.055800942285041226,0.88118815
0.00821917808219178,0.05697879858657244,0.8811589
0.00850757029560202,0.05697879858657244,0.8811555
0.00850757029560202,0.05727326266195524,0.88113695
0.00850757029560202,0.05771495877502945,0.88113326
0.008651766402307137,0.05771495877502945,0.88112694
0.008651766402307137,0.05786219081272085,0.8811205
0.008940158615717375,0.05786219081272085,0.8811105
0.008940158615717375,0.05815665488810365,0.8811083
0.009084354722422494,0.05815665488810365,0.88110006
0.009084354722422494,0.058451118963486454,0.8810775
0.009228550829127614,0.058451118963486454,0.881074
0.009228550829127614,0.05874558303886926,0.8810643
0.009372746935832732,0.05874558303886926,0.8810609
0.009372746935832732,0.06007067137809187,0.88101006
0.009516943042537852,0.06007067137809187,0.88100845
0.009516943042537852,0.06213191990577149,0.8809133
0.009661139149242971,0.06213191990577149,0.8809128
0.009661139149242971,0.0624263839811543,0.8809118
0.009661139149242971,0.06375147232037691,0.8808838
0.00980533525594809,0.06375147232037691,0.8808825
0.00980533525594809,0.06434040047114252,0.8808704
0.009949531362653209,0.06434040047114252,0.88086796
0.009949531362653209,0.06610718492343934,0.8807916
0.010093727469358327,0.06610718492343934,0.88078916
0.010093727469358327,0.06625441696113074,0.8807889
0.010237923576063446,0.06625441696113074,0.8807843
0.010237923576063446,0.0717020023557126,0.8805795
0.010382119682768566,0.0717020023557126,0.88056624
0.010382119682768566,0.07229093050647821,0.88055456
0.010526315789473684,0.07229093050647821,0.88053584
0.010526315789473684,0.07332155477031801,0.88049406
0.010670511896178804,0.07332155477031801,0.8804878
0.010670511896178804,0.07376325088339222,0.8804756
0.010814708002883922,0.07376325088339222,0.8804732
0.010814708002883922,0.07420494699646643,0.8804487
0.010958904109589041,0.07420494699646643,0.8804474
0.010958904109589041,0.07449941107184924,0.88043755
0.01110310021629416,0.07449941107184924,0.8804373
0.01110310021629416,0.07508833922261485,0.8804148
0.011247296322999279,0.07508833922261485,0.8804012
0.011247296322999279,0.07773851590106007,0.8803162
0.011391492429704398,0.07773851590106007,0.8803118
0.011391492429704398,0.07847467608951708,0.8802888
0.011535688536409516,0.07847467608951708,0.88028777
0.011535688536409516,0.08215547703180212,0.88009787
0.011679884643114636,0.08215547703180212,0.8800915
0.011679884643114636,0.08259717314487633,0.8800722
0.011824080749819756,0.08259717314487633,0.88006914
0.011824080749819756,0.08598351001177856,0.8799608
0.011968276856524874,0.08598351001177856,0.87995726
0.011968276856524874,0.08760306242638398,0.8799046
0.012112472963229993,0.08760306242638398,0.87989914
0.012112472963229993,0.08775029446407538,0.87989545
0.012256669069935111,0.08775029446407538,0.87988794
0.012256669069935111,0.0887809187279152,0.8798524
0.01240086517664023,0.0887809187279152,0.8798455
0.01240086517664023,0.09128386336866902,0.87975794
0.01254506128334535,0.09128386336866902,0.8797543
0.01254506128334535,0.09157832744405182,0.87974465
0.012689257390050468,0.09157832744405182,0.8797413
0.012689257390050468,0.09231448763250884,0.87971854
0.012833453496755588,0.09231448763250884,0.87970513
0.012833453496755588,0.09305064782096584,0.8796835
0.012977649603460706,0.09305064782096584,0.87967426
0.012977649603460706,0.09452296819787986,0.8795739
0.013266041816870945,0.09452296819787986,0.8795634
0.013266041816870945,0.09570082449941107,0.8795307
0.013410237923576063,0.09570082449941107,0.8795282
0.013410237923576063,0.09614252061248528,0.8795059
0.013554434030281183,0.09614252061248528,0.87950325
0.013554434030281183,0.09643698468786809,0.8795012
0.0136986301369863,0.09643698468786809,0.8794924
0.0136986301369863,0.0979093050647821,0.87942857
0.01384282624369142,0.0979093050647821,0.8794223
0.01384282624369142,0.0980565371024735,0.87941843
0.014131218457101658,0.0980565371024735,0.879414
0.014131218457101658,0.0989399293286219,0.8793921
0.014275414563806777,0.0989399293286219,0.8793876
0.014275414563806777,0.09923439340400471,0.87937945
0.014419610670511895,0.09923439340400471,0.8793687
0.014419610670511895,0.10026501766784453,0.8793211
0.014563806777217015,0.10026501766784453,0.8793196
0.014563806777217015,0.10041224970553593,0.8793149
0.014708002883922135,0.10041224970553593,0.87931216
0.014708002883922135,0.10276796230859835,0.87922853
0.014708002883922135,0.10306242638398115,0.879228
0.014852198990627253,0.10306242638398115,0.8792258
0.014852198990627253,0.10482921083627797,0.87917817
0.014852198990627253,0.10512367491166077,0.87917393
0.014852198990627253,0.107037691401649,0.8790759
0.014996395097332372,0.107037691401649,0.8790757
0.014996395097332372,0.1073321554770318,0.8790637
0.01514059120403749,0.1073321554770318,0.8790618
0.01514059120403749,0.10792108362779741,0.8790345
0.01528478731074261,0.10792108362779741,0.8790325
0.01528478731074261,0.10821554770318022,0.87902874
0.015573179524152847,0.10821554770318022,0.8790033
0.015573179524152847,0.10836277974087162,0.8789985
0.015717375630857965,0.10836277974087162,0.8789967
0.015717375630857965,0.10865724381625441,0.8789801
0.015861571737563085,0.10865724381625441,0.878968
0.015861571737563085,0.10880447585394581,0.87896496
0.016005767844268205,0.10880447585394581,0.87896407
0.016005767844268205,0.11012956419316844,0.87891376
0.016149963950973324,0.11012956419316844,0.87891316
0.016149963950973324,0.11410482921083628,0.87879664
0.016149963950973324,0.11439929328621908,0.87879646
0.016149963950973324,0.1155771495877503,0.8787328
0.016294160057678444,0.1155771495877503,0.87873167
0.016294160057678444,0.11719670200235571,0.87867564
0.01643835616438356,0.11719670200235571,0.8786691
0.01643835616438356,0.11734393404004712,0.8786687
0.01658255227108868,0.11734393404004712,0.87866694
0.01658255227108868,0.11881625441696113,0.87858194
