,precision,recall,f1-score,support
0.0,0.7223298284449363,0.7528478731074261,0.7372731765868813,6935.0
1.0,0.7362671180181566,0.7045053003533569,0.7200361146640584,6792.0
accuracy,0.7289283893057478,0.7289283893057478,0.7289283893057478,0.7289283893057478
macro avg,0.7292984732315464,0.7286765867303915,0.7286546456254699,13727.0
weighted avg,0.729225877893564,0.7289283893057478,0.7287444285297812,13727.0
