,precision,recall,f1-score,support
0,0.6507268553940322,0.7285836664762992,0.6874579011181463,7004.0
1,0.6912958752841831,0.6084905660377359,0.6472555876539455,6996.0
accuracy,0.6685714285714286,0.6685714285714286,0.6685714285714286,0.6685714285714286
macro avg,0.6710113653391077,0.6685371162570175,0.667356744386046,14000.0
weighted avg,0.6709997741905677,0.6685714285714286,0.6673682307613215,14000.0
