,precision,recall,f1-score,support
0,0.7159353348729792,0.7966876070816676,0.7541559670225706,7004.0
1,0.7705446342249436,0.6835334476843911,0.7244356915618846,6996.0
accuracy,0.7401428571428571,0.7401428571428571,0.7401428571428571,0.7401428571428571
macro avg,0.7432399845489615,0.7401105273830293,0.7392958292922276,14000.0
weighted avg,0.7432243818920037,0.7401428571428571,0.739304320799502,14000.0
