,precision,recall,f1-score,support
0.0,0.7039351236373305,0.7635183850036049,0.7325171197343847,6935.0
1.0,0.7356970185334408,0.6721142520612485,0.7024698007232438,6792.0
accuracy,0.7182924164056239,0.7182924164056239,0.7182924164056239,0.7182924164056239
macro avg,0.7198160710853856,0.7178163185324267,0.7174934602288143,13727.0
weighted avg,0.7196506324982893,0.7182924164056239,0.7176499680826277,13727.0
