FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.00014723203769140164,0.94350535
0.0,0.0005889281507656066,0.9341045
0.00014419610670511897,0.0005889281507656066,0.93274605
0.00014419610670511897,0.0019140164899882214,0.9264319
0.00028839221341023794,0.0019140164899882214,0.9257447
0.00028839221341023794,0.00265017667844523,0.92427814
0.0005767844268204759,0.00265017667844523,0.9232607
0.0005767844268204759,0.0027974087161366313,0.9226382
0.0007209805335255948,0.0027974087161366313,0.92235464
0.0007209805335255948,0.003386336866902238,0.92126995
0.0008651766402307138,0.003386336866902238,0.9212046
0.0008651766402307138,0.00441696113074205,0.91957647
0.0010093727469358328,0.00441696113074205,0.9195454
0.0010093727469358328,0.005153121319199058,0.9179521
0.0011535688536409518,0.005153121319199058,0.9177837
0.0011535688536409518,0.006183745583038869,0.91699433
0.0012977649603460708,0.006183745583038869,0.9159445
0.0012977649603460708,0.0066254416961130744,0.9154626
0.0014419610670511895,0.0066254416961130744,0.9154537
0.0014419610670511895,0.007950530035335688,0.91374594
0.0015861571737563085,0.007950530035335688,0.91372705
0.0015861571737563085,0.009128386336866903,0.91316396
0.0017303532804614275,0.009128386336866903,0.9130534
0.0017303532804614275,0.009275618374558304,0.9127383
0.0018745493871665465,0.009275618374558304,0.91258585
0.0018745493871665465,0.009864546525323911,0.91186565
0.0020187454938716655,0.009864546525323911,0.91157156
0.0020187454938716655,0.01060070671378092,0.9111522
0.0021629416005767843,0.01060070671378092,0.910947
0.0021629416005767843,0.01074793875147232,0.9108408
0.0023071377072819035,0.01074793875147232,0.91082174
0.0023071377072819035,0.011042402826855124,0.9103868
0.0024513338139870223,0.011042402826855124,0.9102886
0.0024513338139870223,0.011189634864546525,0.91028166
0.0025955299206921415,0.011189634864546525,0.9101538
0.0025955299206921415,0.013545347467608953,0.9076146
0.0027397260273972603,0.013545347467608953,0.9075491
0.0027397260273972603,0.014870435806831566,0.9064627
0.002883922134102379,0.014870435806831566,0.90632236
0.002883922134102379,0.015459363957597174,0.90593594
0.0030281182408074983,0.015459363957597174,0.9059152
0.0030281182408074983,0.01678445229681979,0.9049499
