feature_name
num__age
num__height
num__weight
num__ap_hi
num__ap_lo
cat__gender_2
cat__cholesterol_2
cat__cholesterol_3
cat__gluc_2
cat__gluc_3
cat__smoke_1
cat__alco_1
cat__active_1
