,precision,recall,f1-score,support
0,0.5629132816928019,0.8507995431182181,0.6775440591245026,7004.0
1,0.6939074399531342,0.3386220697541452,0.45513928914505286,6996.0
accuracy,0.5948571428571429,0.5948571428571429,0.5948571428571429,0.5948571428571429
macro avg,0.6284103608229681,0.5947108064361817,0.5663416741347778,14000.0
weighted avg,0.628372933920608,0.5948571428571429,0.5664052183547718,14000.0
