,precision,recall,f1-score,support
0,0.7219453051326957,0.7651342090234152,0.7429125944409787,7004.0
1,0.7498859662460088,0.7049742710120068,0.7267369041479408,6996.0
accuracy,0.7350714285714286,0.7350714285714286,0.7350714285714286,0.7350714285714286
macro avg,0.7359156356893523,0.735054240017711,0.7348247492944597,14000.0
weighted avg,0.7359076526433199,0.7350714285714286,0.7348293709202577,14000.0
